requirement_id,parent_capability_id,source_id,source_coordinate,classification,normalized_requirement,acceptance_criteria
REQ-R0C-00013,CAP-R0C-0003,SRC-01,Visit Planning-Planning!A4:M4,BUSINESS_REQUIREMENT,Capability purpose: Allow planners to build flexible search criteria to identify target factories.,Pass when the normalized obligation is demonstrably satisfied at the cited source location.
REQ-R0C-00014,CAP-R0C-0003,SRC-01,Visit Planning-Planning!A4:M4,USER_ACTION,"Add, edit and remove criteria using AND / OR conditions.",Pass when the actor can complete the action and the resulting state is visible.
REQ-R0C-00015,CAP-R0C-0003,SRC-01,Visit Planning-Planning!A4:M4,SYSTEM_BEHAVIOR,Validate criteria and execute factory search.,Pass when the system behavior occurs under the cited trigger and context.
REQ-R0C-00016,CAP-R0C-0003,SRC-01,Visit Planning-Planning!A4:M4,BUSINESS_RULE,Multiple filters can be combined. Both AND and OR conditions are supported.,Pass when the rule is enforced and a violating path is prevented or handled.
REQ-R0C-00017,CAP-R0C-0003,SRC-01,Visit Planning-Planning!A4:M4,ACCEPTANCE_CRITERION,Planner can build one or multiple search criteria without limitation.,Pass when the source-stated acceptance condition is demonstrably satisfied in the relevant workflow.
REQ-R0C-00018,CAP-R0C-0004,SRC-01,Visit Planning-Planning!A5:M5,BUSINESS_REQUIREMENT,Capability purpose: Retrieve all factories matching the selected planning criteria.,Pass when the normalized obligation is demonstrably satisfied at the cited source location.
REQ-R0C-00019,CAP-R0C-0004,SRC-01,Visit Planning-Planning!A5:M5,SYSTEM_BEHAVIOR,Retrieve all matching factories.,Pass when the system behavior occurs under the cited trigger and context.
REQ-R0C-00020,CAP-R0C-0004,SRC-01,Visit Planning-Planning!A5:M5,BUSINESS_RULE,Only factories matching all criteria are returned.,Pass when the rule is enforced and a violating path is prevented or handled.
REQ-R0C-00021,CAP-R0C-0005,SRC-01,Visit Planning-Planning!A6:M6,BUSINESS_REQUIREMENT,Capability purpose: Allow planners to select the factories that should become inspection visits.,Pass when the normalized obligation is demonstrably satisfied at the cited source location.
REQ-R0C-00022,CAP-R0C-0005,SRC-01,Visit Planning-Planning!A6:M6,USER_ACTION,Select or remove factories individually or in bulk.,Pass when the actor can complete the action and the resulting state is visible.
REQ-R0C-00023,CAP-R0C-0005,SRC-01,Visit Planning-Planning!A6:M6,SYSTEM_BEHAVIOR,Track selected factories and prepare Visit Plan.,Pass when the system behavior occurs under the cited trigger and context.
REQ-R0C-00024,CAP-R0C-0005,SRC-01,Visit Planning-Planning!A6:M6,BUSINESS_RULE,Planner has full control over the selected factories before publishing.,Pass when the rule is enforced and a violating path is prevented or handled.
REQ-R0C-00025,CAP-R0C-0006,SRC-01,Visit Planning-Planning!A7:M7,BUSINESS_REQUIREMENT,Capability purpose: Configure the common information that will be applied to all selected visits.,Pass when the normalized obligation is demonstrably satisfied at the cited source location.
REQ-R0C-00026,CAP-R0C-0006,SRC-01,Visit Planning-Planning!A7:M7,USER_ACTION,"Select Business Visit Type, Visit Window, Assignment Method, Notes.",Pass when the actor can complete the action and the resulting state is visible.
REQ-R0C-00027,CAP-R0C-0006,SRC-01,Visit Planning-Planning!A7:M7,SYSTEM_BEHAVIOR,Validate mandatory fields.,Pass when the system behavior occurs under the cited trigger and context.
REQ-R0C-00028,CAP-R0C-0006,SRC-01,Visit Planning-Planning!A7:M7,BUSINESS_RULE,Configuration applies to every Visit generated from the same Visit Plan.,Pass when the rule is enforced and a violating path is prevented or handled.
REQ-R0C-00029,CAP-R0C-0006,SRC-01,Visit Planning-Planning!A7:M7,DATA_REQUIREMENT,"Business Visit Type, Visit Window, Assignment Method, Notes",Pass when the cited data field or contract element is present and valid.
REQ-R0C-00030,CAP-R0C-0007,SRC-01,Visit Planning-Planning!A8:M8,BUSINESS_REQUIREMENT,Capability purpose: Automatically assign inspectors during planning.,Pass when the normalized obligation is demonstrably satisfied at the cited source location.
REQ-R0C-00031,CAP-R0C-0007,SRC-01,Visit Planning-Planning!A8:M8,USER_ACTION,Select Auto Assignment.,Pass when the actor can complete the action and the resulting state is visible.
REQ-R0C-00032,CAP-R0C-0007,SRC-01,Visit Planning-Planning!A8:M8,SYSTEM_BEHAVIOR,Assign inspectors according to assignment strategy.,Pass when the system behavior occurs under the cited trigger and context.
REQ-R0C-00033,CAP-R0C-0007,SRC-01,Visit Planning-Planning!A8:M8,BUSINESS_RULE,Assignment occurs before publishing.,Pass when the rule is enforced and a violating path is prevented or handled.
REQ-R0C-00034,CAP-R0C-0008,SRC-01,Visit Planning-Planning!A9:M9,BUSINESS_REQUIREMENT,Capability purpose: Allow planners to manually assign inspectors.,Pass when the normalized obligation is demonstrably satisfied at the cited source location.
REQ-R0C-00035,CAP-R0C-0008,SRC-01,Visit Planning-Planning!A9:M9,USER_ACTION,Select inspector for one or multiple visits.,Pass when the actor can complete the action and the resulting state is visible.
REQ-R0C-00036,CAP-R0C-0008,SRC-01,Visit Planning-Planning!A9:M9,SYSTEM_BEHAVIOR,Validate inspector availability.,Pass when the system behavior occurs under the cited trigger and context.
REQ-R0C-00037,CAP-R0C-0008,SRC-01,Visit Planning-Planning!A9:M9,BUSINESS_RULE,Planner may override automatic recommendations.,Pass when the rule is enforced and a violating path is prevented or handled.
REQ-R0C-00038,CAP-R0C-0009,SRC-01,Visit Planning-Planning!A10:M10,BUSINESS_REQUIREMENT,Capability purpose: Provide a final review before publishing.,Pass when the normalized obligation is demonstrably satisfied at the cited source location.
REQ-R0C-00039,CAP-R0C-0009,SRC-01,Visit Planning-Planning!A10:M10,USER_ACTION,Review all configuration and assignments.,Pass when the actor can complete the action and the resulting state is visible.
REQ-R0C-00040,CAP-R0C-0009,SRC-01,Visit Planning-Planning!A10:M10,SYSTEM_BEHAVIOR,Validate all required information.,Pass when the system behavior occurs under the cited trigger and context.
REQ-R0C-00041,CAP-R0C-0009,SRC-01,Visit Planning-Planning!A10:M10,BUSINESS_RULE,Publishing is blocked until all mandatory information is completed.,Pass when the rule is enforced and a violating path is prevented or handled.
REQ-R0C-00042,CAP-R0C-0009,SRC-01,Visit Planning-Planning!A10:M10,ACCEPTANCE_CRITERION,Planner reviews the complete Visit Plan before publishing.,Pass when the source-stated acceptance condition is demonstrably satisfied in the relevant workflow.
REQ-R0C-00043,CAP-R0C-0010,SRC-01,Visit Planning-Planning!A11:M11,BUSINESS_REQUIREMENT,Capability purpose: Officially publish the Visit Plan and generate operational visits.,Pass when the normalized obligation is demonstrably satisfied at the cited source location.
REQ-R0C-00044,CAP-R0C-0010,SRC-01,Visit Planning-Planning!A11:M11,SYSTEM_BEHAVIOR,"Create Visit Plan, create individual Visits, assign inspectors, update inspector calendars, generate audit records, send notifications.",Pass when the system behavior occurs under the cited trigger and context.
REQ-R0C-00045,CAP-R0C-0010,SRC-01,Visit Planning-Planning!A11:M11,BUSINESS_RULE,Every generated Visit becomes an independent business object while remaining linked to the originating Visit Plan.,Pass when the rule is enforced and a violating path is prevented or handled.
REQ-R0C-00046,CAP-R0C-0011,SRC-01,Visit Planning-Planning!A12:M12,BUSINESS_REQUIREMENT,Capability purpose: Allow planner to choose how inspection visits will be created.,Pass when the normalized obligation is demonstrably satisfied at the cited source location.
REQ-R0C-00047,CAP-R0C-0011,SRC-01,Visit Planning-Planning!A12:M12,USER_ACTION,"Select Bulk, Single or Immediate.",Pass when the actor can complete the action and the resulting state is visible.
REQ-R0C-00048,CAP-R0C-0011,SRC-01,Visit Planning-Planning!A12:M12,SYSTEM_BEHAVIOR,Load corresponding planning workflow.,Pass when the system behavior occurs under the cited trigger and context.
REQ-R0C-00049,CAP-R0C-0011,SRC-01,Visit Planning-Planning!A12:M12,BUSINESS_RULE,Only one planning method can be selected per creation session.,Pass when the rule is enforced and a violating path is prevented or handled.
REQ-R0C-00050,CAP-R0C-0012,SRC-01,Visit Planning-Planning!A13:M13,BUSINESS_REQUIREMENT,Capability purpose: Define target factories using business filters.,Pass when the normalized obligation is demonstrably satisfied at the cited source location.
REQ-R0C-00051,CAP-R0C-0012,SRC-01,Visit Planning-Planning!A13:M13,USER_ACTION,"Add/remove filters, combine using AND/OR.",Pass when the actor can complete the action and the resulting state is visible.
REQ-R0C-00052,CAP-R0C-0012,SRC-01,Visit Planning-Planning!A13:M13,SYSTEM_BEHAVIOR,Validate criteria.,Pass when the system behavior occurs under the cited trigger and context.
REQ-R0C-00053,CAP-R0C-0012,SRC-01,Visit Planning-Planning!A13:M13,BUSINESS_RULE,Unlimited filter combinations supported.,Pass when the rule is enforced and a violating path is prevented or handled.
REQ-R0C-00054,CAP-R0C-0012,SRC-01,Visit Planning-Planning!A13:M13,ACCEPTANCE_CRITERION,Planner can create valid search criteria.,Pass when the source-stated acceptance condition is demonstrably satisfied in the relevant workflow.
REQ-R0C-00055,CAP-R0C-0012,SRC-01,Visit Planning-Planning!A13:M13,DATA_REQUIREMENT,"Activity, Region, City, Risk, License Stage, Violations, Employees...",Pass when the cited data field or contract element is present and valid.
REQ-R0C-00056,CAP-R0C-0013,SRC-01,Visit Planning-Planning!A14:M14,BUSINESS_REQUIREMENT,Capability purpose: Retrieve all factories matching the criteria.,Pass when the normalized obligation is demonstrably satisfied at the cited source location.
REQ-R0C-00057,CAP-R0C-0013,SRC-01,Visit Planning-Planning!A14:M14,USER_ACTION,Click Search.,Pass when the actor can complete the action and the resulting state is visible.
REQ-R0C-00058,CAP-R0C-0013,SRC-01,Visit Planning-Planning!A14:M14,SYSTEM_BEHAVIOR,Execute search and return matching factories.,Pass when the system behavior occurs under the cited trigger and context.
REQ-R0C-00059,CAP-R0C-0013,SRC-01,Visit Planning-Planning!A14:M14,BUSINESS_RULE,Only matching factories are returned.,Pass when the rule is enforced and a violating path is prevented or handled.
REQ-R0C-00060,CAP-R0C-0014,SRC-01,Visit Planning-Planning!A15:M15,BUSINESS_REQUIREMENT,Capability purpose: Allow planner to review retrieved factories.,Pass when the normalized obligation is demonstrably satisfied at the cited source location.
REQ-R0C-00061,CAP-R0C-0014,SRC-01,Visit Planning-Planning!A15:M15,USER_ACTION,"Sort, filter, open factory profile.",Pass when the actor can complete the action and the resulting state is visible.
REQ-R0C-00062,CAP-R0C-0014,SRC-01,Visit Planning-Planning!A15:M15,SYSTEM_BEHAVIOR,Display factory information.,Pass when the system behavior occurs under the cited trigger and context.
REQ-R0C-00063,CAP-R0C-0014,SRC-01,Visit Planning-Planning!A15:M15,BUSINESS_RULE,Factories are read-only during review.,Pass when the rule is enforced and a violating path is prevented or handled.
REQ-R0C-00064,CAP-R0C-0015,SRC-01,Visit Planning-Planning!A16:M16,BUSINESS_REQUIREMENT,Capability purpose: Build the inspection scope.,Pass when the normalized obligation is demonstrably satisfied at the cited source location.
REQ-R0C-00065,CAP-R0C-0015,SRC-01,Visit Planning-Planning!A16:M16,USER_ACTION,Select/unselect individual or multiple factories.,Pass when the actor can complete the action and the resulting state is visible.
REQ-R0C-00066,CAP-R0C-0015,SRC-01,Visit Planning-Planning!A16:M16,SYSTEM_BEHAVIOR,Store selected factories.,Pass when the system behavior occurs under the cited trigger and context.
REQ-R0C-00067,CAP-R0C-0015,SRC-01,Visit Planning-Planning!A16:M16,BUSINESS_RULE,Only selected factories proceed.,Pass when the rule is enforced and a violating path is prevented or handled.
REQ-R0C-00068,CAP-R0C-0016,SRC-01,Visit Planning-Planning!A17:M17,BUSINESS_REQUIREMENT,Capability purpose: Summarize the selected campaign before publishing.,Pass when the normalized obligation is demonstrably satisfied at the cited source location.
REQ-R0C-00069,CAP-R0C-0016,SRC-01,Visit Planning-Planning!A17:M17,SYSTEM_BEHAVIOR,Generate campaign summary.,Pass when the system behavior occurs under the cited trigger and context.
REQ-R0C-00070,CAP-R0C-0017,SRC-01,Visit Planning-Planning!A18:M18,BUSINESS_REQUIREMENT,Capability purpose: Define common visit configuration.,Pass when the normalized obligation is demonstrably satisfied at the cited source location.
REQ-R0C-00071,CAP-R0C-0017,SRC-01,Visit Planning-Planning!A18:M18,USER_ACTION,"Select Visit Type, Visit Window, Assignment Method, Notes.",Pass when the actor can complete the action and the resulting state is visible.
REQ-R0C-00072,CAP-R0C-0017,SRC-01,Visit Planning-Planning!A18:M18,SYSTEM_BEHAVIOR,Validate mandatory fields.,Pass when the system behavior occurs under the cited trigger and context.
REQ-R0C-00073,CAP-R0C-0017,SRC-01,Visit Planning-Planning!A18:M18,BUSINESS_RULE,Applies to all selected visits.,Pass when the rule is enforced and a violating path is prevented or handled.
REQ-R0C-00074,CAP-R0C-0018,SRC-01,Visit Planning-Planning!A19:M19,BUSINESS_REQUIREMENT,Capability purpose: Automatically assign inspectors.,Pass when the normalized obligation is demonstrably satisfied at the cited source location.
REQ-R0C-00075,CAP-R0C-0018,SRC-01,Visit Planning-Planning!A19:M19,BUSINESS_RULE,Every visit must have an inspector.,Pass when the rule is enforced and a violating path is prevented or handled.
REQ-R0C-00076,CAP-R0C-0019,SRC-01,Visit Planning-Planning!A20:M20,BUSINESS_REQUIREMENT,Capability purpose: Override inspector assignment.,Pass when the normalized obligation is demonstrably satisfied at the cited source location.
REQ-R0C-00077,CAP-R0C-0019,SRC-01,Visit Planning-Planning!A20:M20,USER_ACTION,Select inspectors manually.,Pass when the actor can complete the action and the resulting state is visible.
REQ-R0C-00078,CAP-R0C-0019,SRC-01,Visit Planning-Planning!A20:M20,SYSTEM_BEHAVIOR,Validate availability.,Pass when the system behavior occurs under the cited trigger and context.
REQ-R0C-00079,CAP-R0C-0019,SRC-01,Visit Planning-Planning!A20:M20,BUSINESS_RULE,Manual assignment overrides auto assignment.,Pass when the rule is enforced and a violating path is prevented or handled.
REQ-R0C-00080,CAP-R0C-0020,SRC-01,Visit Planning-Planning!A21:M21,BUSINESS_REQUIREMENT,Capability purpose: Final validation before publishing.,Pass when the normalized obligation is demonstrably satisfied at the cited source location.
REQ-R0C-00081,CAP-R0C-0020,SRC-01,Visit Planning-Planning!A21:M21,SYSTEM_BEHAVIOR,"Validate duplicates, create Visit Plan, create Visits, notify inspectors, update calendars, audit.",Pass when the system behavior occurs under the cited trigger and context.
REQ-R0C-00082,CAP-R0C-0020,SRC-01,Visit Planning-Planning!A21:M21,BUSINESS_RULE,Visits become available to inspectors immediately.,Pass when the rule is enforced and a violating path is prevented or handled.
REQ-R0C-00083,CAP-R0C-0021,SRC-01,Visit Planning-Planning!A22:M22,BUSINESS_REQUIREMENT,Capability purpose: Allow planner to choose how inspection visits will be created.,Pass when the normalized obligation is demonstrably satisfied at the cited source location.
REQ-R0C-00084,CAP-R0C-0021,SRC-01,Visit Planning-Planning!A22:M22,USER_ACTION,Select Bulk Planning.,Pass when the actor can complete the action and the resulting state is visible.
REQ-R0C-00085,CAP-R0C-0021,SRC-01,Visit Planning-Planning!A22:M22,SYSTEM_BEHAVIOR,Load Bulk Planning workspace.,Pass when the system behavior occurs under the cited trigger and context.
REQ-R0C-00086,CAP-R0C-0021,SRC-01,Visit Planning-Planning!A22:M22,BUSINESS_RULE,Planner must select one planning method before proceeding.,Pass when the rule is enforced and a violating path is prevented or handled.
REQ-R0C-00087,CAP-R0C-0022,SRC-01,Visit Planning-Planning!A23:M23,BUSINESS_REQUIREMENT,Capability purpose: Define which factories should be inspected.,Pass when the normalized obligation is demonstrably satisfied at the cited source location.
REQ-R0C-00088,CAP-R0C-0022,SRC-01,Visit Planning-Planning!A23:M23,USER_ACTION,"Add, remove and combine filter keys using AND / OR logic.",Pass when the actor can complete the action and the resulting state is visible.
REQ-R0C-00089,CAP-R0C-0022,SRC-01,Visit Planning-Planning!A23:M23,SYSTEM_BEHAVIOR,Validate filters and prepare search query.,Pass when the system behavior occurs under the cited trigger and context.
REQ-R0C-00090,CAP-R0C-0022,SRC-01,Visit Planning-Planning!A23:M23,BUSINESS_RULE,Unlimited filters are supported. Multiple AND/OR conditions are allowed.,Pass when the rule is enforced and a violating path is prevented or handled.
REQ-R0C-00091,CAP-R0C-0022,SRC-01,Visit Planning-Planning!A23:M23,ACCEPTANCE_CRITERION,Planner can successfully define one or more planning criteria.,Pass when the source-stated acceptance condition is demonstrably satisfied in the relevant workflow.
REQ-R0C-00092,CAP-R0C-0022,SRC-01,Visit Planning-Planning!A23:M23,DATA_REQUIREMENT,"Activity, Region, City, License Stage, License Status, Factory Status, Risk Level, Number of Violations, Number of Employees, Last Inspection Date, Inspection Type, Industrial City, Business Category and any configured factory attribute.",Pass when the cited data field or contract element is present and valid.
REQ-R0C-00093,CAP-R0C-0023,SRC-01,Visit Planning-Planning!A24:M24,BUSINESS_REQUIREMENT,Capability purpose: Retrieve factories matching the planning criteria.,Pass when the normalized obligation is demonstrably satisfied at the cited source location.
REQ-R0C-00094,CAP-R0C-0023,SRC-01,Visit Planning-Planning!A24:M24,USER_ACTION,Click Search.,Pass when the actor can complete the action and the resulting state is visible.
REQ-R0C-00095,CAP-R0C-0023,SRC-01,Visit Planning-Planning!A24:M24,SYSTEM_BEHAVIOR,Execute search and retrieve all matching factories.,Pass when the system behavior occurs under the cited trigger and context.
REQ-R0C-00096,CAP-R0C-0023,SRC-01,Visit Planning-Planning!A24:M24,BUSINESS_RULE,Only factories satisfying the selected criteria are returned.,Pass when the rule is enforced and a violating path is prevented or handled.
REQ-R0C-00097,CAP-R0C-0024,SRC-01,Visit Planning-Planning!A25:M25,BUSINESS_REQUIREMENT,Capability purpose: Review retrieved factories before planning visits.,Pass when the normalized obligation is demonstrably satisfied at the cited source location.
REQ-R0C-00098,CAP-R0C-0024,SRC-01,Visit Planning-Planning!A25:M25,USER_ACTION,"View factory details, sort list, filter results, open factory profile.",Pass when the actor can complete the action and the resulting state is visible.
REQ-R0C-00099,CAP-R0C-0024,SRC-01,Visit Planning-Planning!A25:M25,SYSTEM_BEHAVIOR,Display complete factory information.,Pass when the system behavior occurs under the cited trigger and context.
REQ-R0C-00100,CAP-R0C-0024,SRC-01,Visit Planning-Planning!A25:M25,BUSINESS_RULE,No visits are created during review.,Pass when the rule is enforced and a violating path is prevented or handled.
REQ-R0C-00101,CAP-R0C-0025,SRC-01,Visit Planning-Planning!A26:M26,BUSINESS_REQUIREMENT,Capability purpose: Build the final inspection scope.,Pass when the normalized obligation is demonstrably satisfied at the cited source location.
REQ-R0C-00102,CAP-R0C-0025,SRC-01,Visit Planning-Planning!A26:M26,USER_ACTION,"Select, unselect or select all factories.",Pass when the actor can complete the action and the resulting state is visible.
REQ-R0C-00103,CAP-R0C-0025,SRC-01,Visit Planning-Planning!A26:M26,SYSTEM_BEHAVIOR,Store selected factories.,Pass when the system behavior occurs under the cited trigger and context.
REQ-R0C-00104,CAP-R0C-0025,SRC-01,Visit Planning-Planning!A26:M26,BUSINESS_RULE,Only selected factories proceed to planning.,Pass when the rule is enforced and a violating path is prevented or handled.
REQ-R0C-00105,CAP-R0C-0026,SRC-01,Visit Planning-Planning!A27:M27,BUSINESS_REQUIREMENT,Capability purpose: Provide planning insights before creating visits.,Pass when the normalized obligation is demonstrably satisfied at the cited source location.
REQ-R0C-00106,CAP-R0C-0026,SRC-01,Visit Planning-Planning!A27:M27,SYSTEM_BEHAVIOR,Generate campaign summary.,Pass when the system behavior occurs under the cited trigger and context.
REQ-R0C-00107,CAP-R0C-0026,SRC-01,Visit Planning-Planning!A27:M27,BUSINESS_RULE,AI recommendations are advisory only and do not modify the plan automatically.,Pass when the rule is enforced and a violating path is prevented or handled.
REQ-R0C-00108,CAP-R0C-0027,SRC-01,Visit Planning-Planning!A28:M28,BUSINESS_REQUIREMENT,Capability purpose: Define the common visit configuration for all selected factories.,Pass when the normalized obligation is demonstrably satisfied at the cited source location.
REQ-R0C-00109,CAP-R0C-0027,SRC-01,Visit Planning-Planning!A28:M28,USER_ACTION,"Configure Business Visit Type, Visit Window, Assignment Method and Notes.",Pass when the actor can complete the action and the resulting state is visible.
REQ-R0C-00110,CAP-R0C-0027,SRC-01,Visit Planning-Planning!A28:M28,SYSTEM_BEHAVIOR,Validate mandatory information.,Pass when the system behavior occurs under the cited trigger and context.
REQ-R0C-00111,CAP-R0C-0027,SRC-01,Visit Planning-Planning!A28:M28,BUSINESS_RULE,Configuration applies to every generated visit.,Pass when the rule is enforced and a violating path is prevented or handled.
REQ-R0C-00112,CAP-R0C-0027,SRC-01,Visit Planning-Planning!A28:M28,DATA_REQUIREMENT,"Business Visit Type, Visit Window, Assignment Method (Auto/Manual), Notes",Pass when the cited data field or contract element is present and valid.
REQ-R0C-00113,CAP-R0C-0028,SRC-01,Visit Planning-Planning!A29:M29,BUSINESS_REQUIREMENT,Capability purpose: Automatically distribute visits among inspectors.,Pass when the normalized obligation is demonstrably satisfied at the cited source location.
REQ-R0C-00114,CAP-R0C-0028,SRC-01,Visit Planning-Planning!A29:M29,USER_ACTION,Select Auto Assignment.,Pass when the actor can complete the action and the resulting state is visible.
REQ-R0C-00115,CAP-R0C-0028,SRC-01,Visit Planning-Planning!A29:M29,SYSTEM_BEHAVIOR,Assign inspectors according to configured strategy.,Pass when the system behavior occurs under the cited trigger and context.
REQ-R0C-00116,CAP-R0C-0028,SRC-01,Visit Planning-Planning!A29:M29,BUSINESS_RULE,Every generated visit must have one assigned inspector before publishing.,Pass when the rule is enforced and a violating path is prevented or handled.
REQ-R0C-00117,CAP-R0C-0028,SRC-01,Visit Planning-Planning!A29:M29,ACCEPTANCE_CRITERION,All visits receive inspector assignments automatically.,Pass when the source-stated acceptance condition is demonstrably satisfied in the relevant workflow.
REQ-R0C-00118,CAP-R0C-0029,SRC-01,Visit Planning-Planning!A30:M30,BUSINESS_REQUIREMENT,Capability purpose: Allow planner to manually override inspector assignments.,Pass when the normalized obligation is demonstrably satisfied at the cited source location.
REQ-R0C-00119,CAP-R0C-0029,SRC-01,Visit Planning-Planning!A30:M30,USER_ACTION,Select inspector for one or multiple visits.,Pass when the actor can complete the action and the resulting state is visible.
REQ-R0C-00120,CAP-R0C-0029,SRC-01,Visit Planning-Planning!A30:M30,SYSTEM_BEHAVIOR,Validate inspector eligibility and assignment conflicts.,Pass when the system behavior occurs under the cited trigger and context.
REQ-R0C-00121,CAP-R0C-0029,SRC-01,Visit Planning-Planning!A30:M30,BUSINESS_RULE,Manual assignment overrides automatic assignment.,Pass when the rule is enforced and a violating path is prevented or handled.
REQ-R0C-00122,CAP-R0C-0030,SRC-01,Visit Planning-Planning!A31:M31,BUSINESS_REQUIREMENT,Capability purpose: Review the complete Visit Plan before publishing.,Pass when the normalized obligation is demonstrably satisfied at the cited source location.
REQ-R0C-00123,CAP-R0C-0030,SRC-01,Visit Planning-Planning!A31:M31,USER_ACTION,"Review selected factories, assignments and visit configuration.",Pass when the actor can complete the action and the resulting state is visible.
REQ-R0C-00124,CAP-R0C-0030,SRC-01,Visit Planning-Planning!A31:M31,SYSTEM_BEHAVIOR,"Validate mandatory data, detect duplicate visits and highlight validation errors.",Pass when the system behavior occurs under the cited trigger and context.
REQ-R0C-00125,CAP-R0C-0030,SRC-01,Visit Planning-Planning!A31:M31,BUSINESS_RULE,Publishing is blocked until all mandatory validations pass.,Pass when the rule is enforced and a violating path is prevented or handled.
REQ-R0C-00126,CAP-R0C-0031,SRC-01,Visit Planning-Planning!A32:M32,BUSINESS_REQUIREMENT,Capability purpose: Generate operational inspection visits.,Pass when the normalized obligation is demonstrably satisfied at the cited source location.
REQ-R0C-00127,CAP-R0C-0031,SRC-01,Visit Planning-Planning!A32:M32,SYSTEM_BEHAVIOR,"Create Visit Plan, generate individual Visit IDs, assign inspectors, update inspector calendars, send notifications, create audit records and move visits to Published status.",Pass when the system behavior occurs under the cited trigger and context.
REQ-R0C-00128,CAP-R0C-0031,SRC-01,Visit Planning-Planning!A32:M32,BUSINESS_RULE,"Every Visit receives a unique Visit ID. All Visits inherit the same Visit Plan ID. Inspectors receive only individual Visits, never the Visit Plan.",Pass when the rule is enforced and a violating path is prevented or handled.
REQ-R0C-00129,CAP-R0C-0031,SRC-01,Visit Planning-Planning!A32:M32,DATA_REQUIREMENT,Published Visit Plan + Individual Visits,Pass when the cited data field or contract element is present and valid.
REQ-R0C-00130,CAP-R0C-0032,SRC-01,Visit Planning-Planning!A33:M33,BUSINESS_REQUIREMENT,Capability purpose: Allow planner to update multiple visits belonging to the same Visit Plan before execution starts.,Pass when the normalized obligation is demonstrably satisfied at the cited source location.
REQ-R0C-00131,CAP-R0C-0032,SRC-01,Visit Planning-Planning!A33:M33,USER_ACTION,Modify one or more fields and save changes.,Pass when the actor can complete the action and the resulting state is visible.
REQ-R0C-00132,CAP-R0C-0032,SRC-01,Visit Planning-Planning!A33:M33,SYSTEM_BEHAVIOR,Apply updates to all selected child visits and record audit logs.,Pass when the system behavior occurs under the cited trigger and context.
REQ-R0C-00133,CAP-R0C-0032,SRC-01,Visit Planning-Planning!A33:M33,BUSINESS_RULE,Bulk Edit is allowed only before any selected visit has started inspection. All editable fields are supported.,Pass when the rule is enforced and a violating path is prevented or handled.
REQ-R0C-00134,CAP-R0C-0032,SRC-01,Visit Planning-Planning!A33:M33,DATA_REQUIREMENT,"Business Visit Type, Visit Window, Inspector Assignment, Factory Location, Notes",Pass when the cited data field or contract element is present and valid.
